,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Gato Negro Cabernet Sauvignon 2022,13.0,0.75,7.99,10.653333333333334,1.2202753441802252
0,Tarapacá Santa Cecilia Merlot 2021,13.0,0.75,7.99,10.653333333333334,1.2202753441802252
0,Tarapacá Santa Cecilia Chardonnay 2023,13.0,0.75,7.99,10.653333333333334,1.2202753441802252
0,Tarapacá Santa Cecilia Cabernet Sauvignon 2022,13.0,0.75,7.99,10.653333333333334,1.2202753441802252
0,Murviedro Eko Monastrell 2021,13.0,0.75,7.99,10.653333333333334,1.2202753441802252
0,Koskenkorva Spirit Drink Organic muovipullo,24.0,1.0,19.68,19.68,1.2195121951219512
0,9 Lives Alluring Red Blend 2022 hanapakkaus,13.0,3.0,31.98,10.66,1.2195121951219512
0,Inception Irresistible White Blend 2022 hanapakkaus,13.0,3.0,31.99,10.663333333333332,1.2191309784307598
0,Chill Out Chardonnay Australia 2022 hanapakkaus,13.0,3.0,31.99,10.663333333333332,1.2191309784307598
0,Chill Out Shiraz Rosé 2022 hanapakkaus,13.0,3.0,31.99,10.663333333333332,1.2191309784307598
0,Viru Valge Vodka,40.0,0.7,22.98,32.82857142857143,1.2184508268059182
0,The Claymore,40.0,0.7,22.99,32.84285714285714,1.2179208351457156
0,Fair & Square Red 2023 kartonkitölkki,13.0,1.0,10.68,10.68,1.2172284644194757
0,Viña Maipo Sauvignon Blanc 2021 hanapakkaus,12.0,3.0,29.59,9.863333333333333,1.2166272389320716
0,Fair & Square White 2023 kartonkitölkki,12.5,1.0,10.28,10.28,1.2159533073929962
0,Pop Up Season Rosé kartonkitölkki,12.0,1.0,9.88,9.88,1.214574898785425
0,Albero Chardonnay kartonkitölkki,12.0,1.0,9.88,9.88,1.214574898785425
0,Castillo de Gredos Blanco Organic kartonkitölkki,12.0,1.0,9.88,9.88,1.214574898785425
0,Beehive VSOP muovipullo,40.0,0.5,16.48,32.96,1.2135922330097086
0,Kaatoryyppy muovipullo,32.0,0.35,9.23,26.371428571428574,1.2134344528710725
0,Highland Bird,40.0,0.7,23.08,32.97142857142857,1.2131715771230505
0,Chill Out Shiraz Cabernet Sauvignon Australia 2021 kartonkitölkki,14.5,0.75,8.98,11.973333333333334,1.211024498886414
0,Ron Cabana Blanco muovipullo,37.5,0.7,21.68,30.97142857142857,1.2107933579335792
0,Il Barone Rosso 2022 hanapakkaus,12.5,3.0,30.98,10.326666666666666,1.2104583602324082
0,Alpha Chardonnay hanapakkaus,12.5,3.0,30.98,10.326666666666666,1.2104583602324082
0,Casas Patronales Crisp hanapakkaus,12.5,3.0,30.98,10.326666666666666,1.2104583602324082
0,Luna Negra Chardonnay hanapakkaus,13.0,2.0,21.48,10.74,1.2104283054003724
0,Luna Negra Merlot hanapakkaus,13.0,2.0,21.48,10.74,1.2104283054003724
0,Rhum Negrita White Signature,37.5,0.7,21.69,30.98571428571429,1.2102351313969568
0,Gold Dust Signature Red Blend 2022 hanapakkaus,13.5,3.0,33.48,11.159999999999998,1.209677419354839
0,Footmark Pinotage 2022,14.5,0.75,8.99,11.986666666666666,1.2096774193548387
0,Evergreen Touch of Nature Monastrell Organic 2022 muovipullo,14.5,1.0,11.99,11.99,1.2093411175979982
0,Mayu Reserva Syrah Appassimento hanapakkaus,14.5,3.0,35.99,11.996666666666668,1.208669074742984
0,Quinta do Espirito Santo Red 2019 hanapakkaus,14.5,3.0,35.99,11.996666666666668,1.208669074742984
0,Pearly Bay Dry White hanapakkaus,12.0,3.0,29.85,9.950000000000001,1.2060301507537687
0,La Maschera Ok Rose 2020 kartonkitölkki,13.0,1.0,10.78,10.78,1.2059369202226347
0,Label 5 muovipullo,40.0,0.5,16.59,33.18,1.2055455093429777
0,Viña Maipo Cabernet Sauvignon 2022 hanapakkaus,12.0,3.0,29.88,9.959999999999999,1.2048192771084338
0,Frontera Chardonnay 2022 hanapakkaus,12.0,3.0,29.88,9.959999999999999,1.2048192771084338
0,Viña Maipo Rosé 2022 hanapakkaus,12.0,3.0,29.88,9.959999999999999,1.2048192771084338
0,Viña Maipo Chardonnay 2022 hanapakkaus,12.0,3.0,29.88,9.959999999999999,1.2048192771084338
0,Sir Edward's Smoky,40.0,0.7,23.28,33.25714285714286,1.2027491408934707
0,Gato Negro Sauvignon Blanc kartonkitölkki,12.0,1.0,9.98,9.98,1.2024048096192383
0,Frisky Zebras Sensuous Sauvignon Blanc kartonkitölkki,12.0,1.0,9.98,9.98,1.2024048096192383
0,Wine Tunes Rock'n Riesling 2022 kartonkitölkki,12.0,1.0,9.99,9.99,1.2012012012012012
0,Tronnes Napoléon muovipullo,36.0,0.7,20.98,29.971428571428575,1.2011439466158245
0,I.L.O. Organic Primitivo 2021 hanapakkaus,15.0,2.0,24.98,12.49,1.200960768614892
0,Ricossa Cortese Chardonnay hanapakkaus,12.0,3.0,29.98,9.993333333333334,1.200800533689126
0,Frame Pinot Blanc & Riesling 2021 hanapakkaus,12.0,3.0,29.98,9.993333333333334,1.200800533689126
0,Good Vibes Rosé 2021 hanapakkaus,12.0,3.0,29.98,9.993333333333334,1.200800533689126
0,Corona Finest Napoleon muovipullo,36.0,0.7,20.99,29.985714285714284,1.2005717008099095
0,Nederburg Winemasters Cabernet Sauvignon 2020 hanapakkaus,14.0,3.0,34.99,11.663333333333334,1.200342955130037
0,LAB Reserva 2021 hanapakkaus,14.0,3.0,34.99,11.663333333333334,1.200342955130037
0,Glen Scanlan muovipullo,40.0,0.7,23.36,33.371428571428574,1.1986301369863013
0,Ponte Villoni Montepulciano d'Abruzzo 2020 hanapakkaus,12.5,3.0,31.29,10.43,1.1984659635666348
0,Scottish Leader,40.0,1.0,33.39,33.39,1.1979634621144055
