#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-38.79546,9,2.366153
-39.414519,3,2.367154
-39.704456,6,2.369155
-39.418222,3,2.370156
-39.8,1,2.371157
-39.991509,2,2.371157
-39.8,1,2.372158
-39.4,3,2.373159
-39.507842,2,2.373159
-39.8,1,2.37416
-39.477672,4,2.375161
-39.8,1,2.376162
-37.798285,9,2.378164
-39.8,1,2.379164
-39.083538,6,2.381166
-39.8,1,2.381166
-36.935071,15,2.386171
-39.8,1,2.386171
-39.408713,3,2.387172
-39.8,1,2.388173
-39.8,1,2.388173
-39.416035,4,2.389174
-39.094786,4,2.391176
-38.677096,5,2.392176
-39.8,1,2.393177
-37.377117,12,2.397181
-39.160554,4,2.398182
-39.8,1,2.398182
-39.514738,5,2.400184
-39.337258,2,2.401184
-39.867495,2,2.401184
-39.721926,6,2.403186
-39.8,1,2.404187
-39.20904,2,2.404187
-38.26614,9,2.40719
-39.054517,6,2.409192
-38.673737,5,2.411193
-37.871443,9,2.414196
-39.229946,4,2.415197
-39.8,1,2.415197
-38.974115,5,2.417199
-38.447194,6,2.419201
-38.931713,4,2.420202
-39.465857,4,2.421203
-39.019648,5,2.423204
-39.6737,2,2.423204
-39.8,1,2.424206
-39.203292,2,2.425206
-39.8,1,2.425206
-39.410644,3,2.426207
-39.418433,3,2.427208
-38.986439,9,2.430211
-39.202909,2,2.430211
-38.300069,7,2.433213
-39.8,1,2.433213
-39.8,1,2.433213
-37.681076,12,2.437217
-38.839435,4,2.438218
-39.403691,3,2.439219
-39.8,1,2.44022
-39.8,1,2.44022
-39.590867,5,2.442222
-37.963744,6,2.443223
-39.519512,4,2.445225
-39.8,1,2.445225
-35.48758,12,2.449228
-38.876746,4,2.450229
-39.744817,13,2.454233
-37.767323,9,2.457235
-39.419671,3,2.458236
-39.045456,5,2.459237
-39.8,1,2.460238
-39.8,1,2.460238
-39.836745,2,2.461239
-39.8,1,2.461239
-39.8,1,2.46224
-38.132799,6,2.464242
-39.897347,2,2.464242
-39.120094,6,2.466244
-39.760303,2,2.467245
-39.183933,6,2.469246
-39.480407,6,2.471248
-38.691898,5,2.472249
-39.543353,6,2.474251
-38.761312,7,2.476253
-39.60414,4,2.478255
-39.8,1,2.478255
-38.868607,4,2.479255
-39.8,1,2.480256
-38.058021,12,2.483259
-39.8,1,2.48426
-39.239942,6,2.486262
-39.8,1,2.486262
-39.4,3,2.487263
-39.8,1,2.487263
-38.640055,5,2.489265
-39.8,1,2.489265
-39.404899,3,2.490266
-39.383973,2,2.491266
-39.402725,3,2.492267
-39.8,1,2.492267
-39.1173,6,2.494269
-37.394715,10,2.497272
-39.46335,6,2.499274
-39.8,1,2.499274
-32.823911,28,2.508282
-38.2221,8,2.510284
-39.8,1,2.511285
-39.571509,2,2.511285
-39.8,1,2.512285
-39.405068,3,2.513287
-38.318038,6,2.515288
-39.8,1,2.515288
-40.167066,12,2.519292
-39.109154,4,2.520293
-37.583465,13,2.524297
-39.8,1,2.524297
-40.006204,2,2.525297
-38.719706,15,2.530302
-39.8,1,2.531303
-39.402408,3,2.532304
-39.41495,6,2.533304
-40.008929,2,2.534306
-39.8,1,2.535306
-37.1,15,2.58235
-39.8,1,2.58235
-39.562659,4,2.584351
-39.407026,3,2.585352
-39.908804,2,2.585352
-39.554021,4,2.587354
-39.328784,5,2.588355
-39.8,1,2.589356
