#{"t_start": 1701784901.7282495, "env_id": "None"}
r,l,t
-10.429,155,44.545732
-0.368,60,44.570755
-3.881,252,44.661838
0.321,161,44.71889
-1.324,58,44.739909
-0.383,60,44.760928
-1.363,58,44.780946
-0.453,60,44.804968
-5.801,155,44.876033
-2.081,252,44.976123
-7.878,155,45.032174
-5.427,155,45.088226
-9.153,155,45.145277
-2.264,58,45.166296
-1.751,58,46.027078
-2.981,155,46.092138
-0.199,60,46.120163
-6.969,155,46.18322
-1.874,58,46.206241
-16.13,341,46.415431
-4.331,257,46.505513
-17.338,508,46.683675
-1.658,58,46.704694
-1.399,58,46.725713
-2.217,58,46.745732
-1.048,257,46.85383
-5.188,252,47.728624
-4.396,341,47.880763
-0.351,60,47.908788
-28.272,740,48.178033
-1.3,58,48.198051
-5.645,155,48.253182
-1.56,58,48.274225
-4.194,155,48.327824
-1.193,58,48.348843
-1.12,58,48.369862
-6.757,341,49.243655
-5.194,252,49.340744
-4.238,155,49.400799
-1.257,58,49.420817
-5.106,155,49.474866
-1.438,58,49.495885
-2.075,58,49.515903
-4.675,155,49.569952
-1.247,58,49.590972
-1.708,58,49.612992
-1.726,58,49.634011
-18.951,508,49.879234
-1.413,58,49.900253
-3.891,252,50.967222
-4.097,155,51.030279
-4.053,155,51.091335
-4.887,155,51.165402
-7.964,163,51.23947
-2.957,254,51.333555
-2.969,155,51.391608
-2.331,155,51.445657
-6.762,155,51.501708
0.063,341,51.619816
-1.142,58,51.640834
-26.67,514,52.650752
-16.596,341,52.78087
-4.051,155,52.833919
-2.44,155,52.887968
-1.236,58,52.908987
-1.966,58,52.929005
-2.319,341,53.048113
-0.355,60,53.069132
-10.322,341,53.218268
-1.584,58,53.241289
-1.229,58,53.263309
-3.107,155,53.31936
-0.463,60,54.086056
-9.088,341,54.245201
-6.274,155,54.316266
-4.6,155,54.371316
-8.185,344,54.498431
-0.45,60,54.520451
-2.773,155,54.5745
5.705,252,54.661579
-5.802,155,54.71663
-0.634,60,54.737648
-2.219,252,54.825728
-2.029,58,54.845747
-0.44,60,55.703526
-3.92,155,55.762579
-1.241,58,55.786601
-5.308,155,55.851661
-0.211,428,56.006802
-4.189,252,56.094881
-0.129,256,56.209987
-2.342,155,56.272043
-1.517,58,56.293061
-1.142,58,56.314081
-0.244,60,56.3351
-1.991,155,56.394154
-7.207,155,56.449204
-5.175,155,57.300977
-0.417,60,57.327001
-0.145,60,57.352024
5.2,255,57.454116
-5.568,155,57.510168
-1.174,58,57.530186
-1.765,58,57.551205
-1.942,58,57.571223
-0.464,60,57.593243
-4.049,252,57.681323
-1.298,58,57.701342
-4.204,252,57.835464
-2.709,155,57.889513
-4.028,588,58.909943
-1.125,58,58.934966
-1.684,58,58.956986
-3.141,155,59.019042
-1.07,58,59.044065
-1.041,58,59.068087
-3.091,155,59.137154
-8.024,341,59.275276
-5.334,252,59.364357
13.235,736,59.626595
8.657,428,60.638514
-0.621,252,60.7326
-1.094,58,60.753619
-1.056,58,60.773638
-1.314,58,60.794656
-1.136,58,60.814674
-1.596,58,60.834692
-1.124,58,60.855712
-0.326,60,60.876731
-4.181,155,60.931781
-6.159,155,60.98583
-4.614,588,61.225048
-2.255,155,62.036784
-1.541,58,62.058805
0.821,254,62.278004
-2.301,155,62.334055
-2.743,155,62.39411
2.1,252,62.483191
-1.934,155,62.538241
-1.18,58,62.55926
-3.603,155,62.613309
